Año;ψ;PP;PM;Acierto
2021;478.195.923;2396674430;2397511494;0,00
2020;415.259.259;2033122055;2022744375;0,01
2019;533.820.133;2314354401;2268066613;0,02
2018;388.513.656;2188657564;2196918602;0,00
2017;425.438.557;2048132129;2055667531;0,00
2016;385.012.453;1893338290;1896148692;0,00
2015;366.692.460;1813688916;1841473542;-0,02
2014;308.511.273;1721002282;1772402842;-0,03
2013;313.971.751;1683644696;1696078580;-0,01
2012;329.069.710;1731663726;1710420031;0,01
2011;315.264.170;1750697204;1781841633;-0,02
2010;333.740.407;1754467365;1783757051;-0,02
2009;349.678.136;1741314703;1757165743;-0,01
2008;375.139.886;2020970674;2055445729;-0,02
2007;437.540.877;2193619811;2153974747;0,02
2006;337.752.269;1995297562;1994186552;0,00
2005;350.778.006;1838613831;1802375388;0,02
2004;258.943.886;1572014617;1607275123;-0,02
2003;204.685.070;1401816737;1457631924;-0,04
2002;189.185.240;1268934959;1342911657;-0,06
